title,artist_combined,date,rank,spotify_id,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,primary_artist
el club / el clúb,bad bunny,2025-01-11,83,0iKo4pNNjHHdKUcFARlfCa,41,9,7,DO,4/1/2025,86,True,222568,DeBÍ TiRAR MáS FOToS,1/5/2025,0.516,0.611,10,-5.486,0,0.0555,0.458,5.34e-05,0.113,0.261,110.744,4,bad bunny
pitorro de coco,bad bunny,2025-01-11,85,14QaXYIK3K3QPtezqxRRPN,50,0,-12,DO,2/19/2025,83,False,206627,DeBÍ TiRAR MáS FOToS,1/5/2025,0.636,0.667,7,-4.708,1,0.0323,0.25,6.95e-06,0.116,0.544,97.769,4,bad bunny
wondering why / opening night,the red clay strays / the weeknd,2025-01-11,87,4oahRRZECfGud6eL7Lj7CO,43,-9,7,BG,2/4/2025,48,False,96024,Hurry Up Tomorrow,1/30/2025,0.525,0.661,4,-8.407,0,0.0578,0.035,0.167,0.377,0.549,89.985,4,the weeknd
high road,zach bryan,2025-01-11,91,4CcozggmhXmndssEDH6YHR,44,-1,6,US,11/16/2024,75,True,199893,High Road,11/7/2024,0.47,0.229,4,-11.028,1,0.0406,0.815,0.0,0.172,0.213,113.404,4,zach bryan
on one tonight,gunna,2025-01-11,92,6EUcP55GlbmsmCzfL2vxtZ,50,0,-7,CA,1/16/2025,84,True,90760,One of Wun,5/10/2024,0.887,0.727,4,-4.318,0,0.135,0.381,1.16e-06,0.213,0.932,130.035,4,gunna
"dum, dumb, and dumber / dum, dumb, and dumber (with young thug & future)","lil baby, young thug & future / lil baby, young thug, future",2025-01-18,10,3E9IzxNXsk7yFfc1SHpiG1,49,1,1,US,1/8/2025,75,True,227400,WHAM,1/3/2025,0.777,0.727,11,-5.498,1,0.26,0.00886,0.0,0.289,0.253,129.965,4,lil baby
nuevayol,bad bunny,2025-01-18,21,5TFD2bmFKGhoCRbX61nXY5,32,-1,0,,4/2/2025,94,False,183685,DeBÍ TiRAR MáS FOToS,1/5/2025,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,bad bunny
baile inolvidable,bad bunny,2025-01-18,22,2lTm559tuIvatlT1u0JYG2,13,-1,-3,,4/2/2025,96,True,367725,DeBÍ TiRAR MáS FOToS,1/5/2025,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,bad bunny
tweaker,gelo,2025-01-18,23,7HDq8aEtkBeZq7gfzYjW28,43,1,-8,NZ,2/23/2025,80,True,189544,Tweaker,1/3/2025,0.584,0.817,8,-6.504,1,0.383,0.156,0.0,0.0736,0.814,111.242,5,gelo
voy a llevarte pa pr,bad bunny,2025-01-18,30,59D4DOkspUbWyMmbAPQkxZ,46,-3,-1,,4/2/2025,93,True,156364,DeBÍ TiRAR MáS FOToS,1/5/2025,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,bad bunny
dtmf,bad bunny,2025-01-18,32,3sK8wGT43QFpWrvNQsrQya,8,-1,-1,,4/2/2025,98,True,237117,DeBÍ TiRAR MáS FOToS,1/5/2025,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,bad bunny
velda / veldá,"bad bunny, omar courtz & dei v / bad bunny, omar courtz, dei v",2025-01-18,37,7d6yK8v8J484SWH5prIQiE,50,-9,-3,,4/2/2025,93,True,235336,DeBÍ TiRAR MáS FOToS,1/5/2025,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3,bad bunny
perfumito nuevo,"bad bunny & rainao / bad bunny, rainao",2025-01-18,39,1Q9Efnm5csdCMFynISxL2x,45,-2,-1,VE,4/2/2025,87,True,200680,DeBÍ TiRAR MáS FOToS,1/5/2025,0.513,0.0302,0,-33.8,1,0.0701,0.996,0.977,0.15,0.557,120.026,1,bad bunny
